probeid	statistic
GUCD1	-2.06400939931322
H2AC20	-2.02402079645557
HDAC4-AS1	-2.12533641503901
HDGF	-2.25239453526695
HIPK4	-2.58996375899855
HM13-IT1	-2.06439629737335
HMBOX1-IT1	-2.20028443642954
HMGA2-AS1	-2.39586165419244
HMGN1P1	-2.14612648603573
HNF1A-AS1	-2.47905234913872
HNRNPA1P76	-1.89599386888414
HPN-AS1	-2.2980597574567
HS3ST3A1	-1.95846436483436
HS3ST3B1	-2.25690855862514
HSD3B2	-2.19148397239582
HYPK	-2.31676661237316
IAPP	-1.91056376320169
IDO2	-2.01981705053813
IFITM10	-2.55887812150377
ING4	-2.06199370173708
INPP5E	-2.18028014184642
IQSEC3	-2.25395840278802
IRS2	-2.02576463012498
ISY1	-2.26712511089493
KAT2A	-1.93895404618928
KCTD21-AS1	-1.99884453621189
KIF18B	-2.51303520736106
KIF28P	-2.08199011657675
KLB	-2.52580488528032
KLC3	-2.06710947001489
KLF4P1	-2.3012046090973
LAGE3P1	-2.13913731064504
LENEP	-2.33102382633372
LIG1	-2.44437803932348
LIMD1-AS1	-1.90939877291837
LINC00659	-2.00747760112027
LINC00884	-2.1194182346221
LINC00886	-2.1388337599002
LINC01558	-2.26481630958645
LINC01715	-1.88299084034572
LINC01831	-2.28835307686118
LINC02021	-1.93494291788645
LINC02043	-2.08752780991051
LINC02078	-2.05357441697529
LINC02127	-2.33199239791857
LINC02675	-2.31559108550511
LNCTAM34A	-2.40045708340416
LOC102724488	-1.99893757932094
LPP-AS2	-2.30434261809798
LRP5L	-2.03882507332655
LRRC2	-2.31907561178943
LRRC37A5P	-1.9106784125525
LRRC8E	-2.26382825985788
LYNX1	-2.20874181603276
MAGIX	-2.26118383234631
MAP7	-2.67930402441538
MED28-DT	-2.25822003893997
METTL25B	-2.11736391046887
MEX3A	-2.4382238152982
MIA2	-2.70109820972907
MICB	-2.32202372910207
MICD	-1.95486438386621
MICU3	-2.70194914151519
MIR186	-2.0986036844318
MIR3173	-1.93201399302012
MIR3176	-2.07356616023236
MIR3677HG	-2.06602754596564
MIR378A	-2.23163499846988
MIR378B	-2.40602252231036
MIR5687	-1.92977982634919
MIR576	-2.02965405458059
MLXIPL	-2.20931324897645
MMACHC	-2.07130625459668
MOGAT3	-2.13794573835453
MOV10	-2.41354890579823
MPLKIP	-2.72459812747561
MROH7	-2.35984958865737
MRPL12	-2.13625622235413
MRPL22	-1.91978266787692
MRPS15	-2.33358364718417
MT-ATP6	-2.02511943676908
MT-CO3	-2.06255024332534
MT-CYB	-1.87305874490765
MT-ND4	-1.99521496446176
MT-ND4L	-2.21502419843823
MT-ND5	-1.96880375211319
MT-RNR2	-1.99254400779896
MTATP6P1	-2.51466719439053
MTCO2P21	-2.05843934764262
MTCYBP18	-2.08065032211986
MTCYBP23	-2.4494934252598
MTG2	-2.11097266423182
MTND1P8	-2.02137057233144
MTND5P1	-2.54882939471256
MUC20P1	-2.06312105778751
MYO5B	-2.72617089305379
NAV2-AS4	-2.58982315119332
NCR3	-2.25086982254982
NEK3	-2.04628560600349
NELFA	-2.01132855643388
NEU4	-2.34184515705167
NGEF	-2.13680363596141
NHSL1	-2.1685210915374
NKIRAS1	-2.21830328111385
NKX3-1	-2.06493593338578
NOP10	-2.1466537670277
NPIPB11	-2.12000247571039
NPIPB3	-2.12988832219493
NR1H3	-2.04505689805315
NR6A1	-2.12265587925643
NTN1	-2.23413133967607
NUB1	-2.07523828158647
NUGGC	-1.97257370812957
OAS1	-2.24428188953719
ODF3B	-2.12879647092761
ONECUT2	-2.28659098023487
PALM3	-2.1169138111215
PANX2	-1.93276864339112
PAQR9-AS1	-2.20311413040649
PATL1-DT	-1.99266982145495
PATL2	-2.06601165939161
PBLD	-2.18611995336794
PCK1	-2.15133191769398
PDXP	-2.06407564144824
PEX7	-2.30811163616034
PIRT	-2.02781983725509
PLA1A	-2.43625381450966
PLA2G4B	-2.19131843589975
PLEKHA6	-2.20322897193044
PLIN5	-2.14312440275136
PNKD	-2.16578710286886
PORCN	-2.3067672456487
PPIAP91	-2.32216691823508
PPP1R14BP5	-2.24765084454941
PRAL	-2.11602197346458
PRKAB2	-2.01645512770662
PROC	-2.05959219187312
PSMB8-AS1	-2.31932112295388
PTPMT1	-2.27411912313641
PTPRK-AS1	-2.02826576386815
QTRT1	-2.21879961090601
RANBP1	-2.49605411802002
RAP2C-AS1	-2.30766749485964
RDH10-AS1	-1.91001343191788
RHBG	-2.10985989269694
RMDN3	-2.2093619068957
RN7SKP102	-1.87889779344882
RN7SKP160	-1.97831555553481
RN7SKP70	-2.20738649200416
RN7SL116P	-2.042532426254
RN7SL180P	-2.25839993442449
RN7SL47P	-2.23379180801029
RN7SL487P	-2.07537812252885
RN7SL559P	-2.02975162268672
RN7SL652P	-2.13763492347112
RN7SL67P	-2.28743968694175
RN7SL693P	-1.95781061878439
RNA5SP437	-2.21680470424145
RNF31	-2.00470630036463
RNU1-27P	-2.00496892047295
RNU1-28P	-3.01072151878339
RNU6-199P	-2.12706429616624
RPL21P5	-2.35963900802908
RPL26L1	-1.92803775052277
RPS4XP18	-2.38496243496063
RRAS2P1	-2.74402875819569
RRS1-DT	-2.15183509879713
RUNDC3B	-2.18517709090931
SAP30	-1.91907412523443
SCLY	-1.97291313542132
SCO2	-2.01824055335672
SERBP1P6	-2.20671917247759
SERF2	-3.07800344346572
SGMS1-AS1	-2.05007930272255
SHANK2-AS2	-2.49912473420064
SHFL	-2.19277919830946
SHH	-2.17233017835805
SIPA1L1-AS1	-1.98476147900318
SLC15A1	-2.25893603607288
SLC25A5-AS1	-2.07148715592476
SLC2A9-AS1	-2.15753978016123
SLC4A1AP	-2.25345891188215
SLC66A1	-2.08079028555174
SLC6A1	-2.07790262580518
SLC6A1-AS1	-2.15488771429689
SMLR1	-1.99461862437469
SNIP1	-2.21860182578598
SNORA11F	-1.97627301637231
SNORA71B	-2.42572827637401
SNRNP70	-2.42803095974039
SNX4	-2.10111981128104
SOAT2	-2.34295522129655
SPATA25	-2.10151629471701
SPDYE12P	-2.15119369243559
SPECC1L-ADORA2A	-2.15519205630083
SPESP1	-2.08121858789345
SRP14-DT	-2.1508891139091
ST3GAL3	-2.68508722072595
STAG1-DT	-1.93900493918773
SUV39H2-DT	-2.06370998831146
TBX3	-2.50619461965612
TECRP1	-1.82676328856995
TEDC2-AS1	-2.45414270090223
TEN1-CDK3	-2.14769610680849
TFAP2E	-2.35833278415796
TH	-2.52687560184174
THRB-IT1	-2.16871235534298
TLX1	-2.36415288407445
TMEM101	-2.01327842709678
TMEM192	-2.25548979670497
TMEM238L	-1.96790593961466
TMEM25	-1.95546127185317
TMEM274P	-2.16007971448319
TMPO-AS1	-2.17911439634182
TNFSF10	-2.04103689047296
TRANK1	-2.09399015929576
TRGV9	-2.36095732357824
TRIM62	-1.99367006098642
TSPOAP1-AS1	-2.42480192473202
TTPA	-2.90194845654343
U2AF1L4	-2.23811342064722
UBQLN1-AS1	-1.91148105011489
UBQLNL	-2.27501107008078
UGT1A2P	-2.26900484816672
UGT1A3	-1.97180168330201
UGT1A5	-1.9360541307823
UGT1A7	-2.33414898373277
UQCRHL	-2.12222782352804
USP34-DT	-1.91476522929115
USP6NL	-2.28404895018648
VANGL1	-2.03539245438498
VPS37A	-2.83233523759177
VSNL1	-2.08010660400523
VWCE	-2.09036573765031
VXN	-2.02667457875371
WASHC1	-1.99164200165158
WDR83	-2.59680716759921
XYLB	-2.21411995909825
YJEFN3	-2.55952905331354
ZBTB12BP	-2.10924148253343
ZC3H11A	-2.12881666153092
ZCCHC14-DT	-2.08629034185718
ZCCHC2	-2.17555178104299
ZNF22-AS1	-2.22677600327554
ZNF284	-2.25874980441695
ZNF425	-2.34273276288166
ZNF648	-2.52376897012833
ZNRF3-IT1	-2.08914418447537
ZSCAN21	-2.30001249936591
ZSWIM1	-2.20150975591815
